Tag,Type,Building,Replacement asset value,Installation date,Planned replacement date,Estimated end-of-life,Remaining useful life,Estimated Replacement Cost,Estimated Replacement Date,Installation Date,Warranty Expiration Date,Lifetime maintenance cost,Last 12 months maintenance cost,Average annual maintenance cost,MC/RAV(%),Manufacturer,Date Purchased,Filter size,Vin #
1629127 - Breaker Box L12-MS,Electrical,FMX Middle School,12000,2020-01-01,2027-01-01,2045-01-01,"19 years, 9 months",12000,1/1/2045,1/1/2020,1/1/2035,,,,,,,,
1629128 - Breaker Box L12 - HS,Electrical,FMX High School,12000,2020-01-02,2027-01-02,2045-01-02,"19 years, 9 months",12000,1/2/2045,1/2/2020,1/2/2035,420.36,420.36,420.36,3.50%,,,,
1629129 - Breaker Box L12-ES,Electrical,FMX Elementary School,12000,2020-01-03,2027-01-03,2045-01-03,"19 years, 9 months",12000,1/3/2045,1/3/2020,1/3/2035,,,,,,,,
1629130 - AHU 14 - HS,HVAC,FMX High School,12000,2020-01-04,2027-01-04,2045-01-04,"19 years, 9 months",12000,1/4/2045,1/4/2020,1/4/2035,,,,,,,,
1629131 - AHU 7 - HS,HVAC,FMX High School,12000,2020-01-05,2027-01-05,2045-01-05,"19 years, 9 months",12000,1/5/2045,1/5/2020,1/5/2035,,,,,,,,
1629132 - AHU 14-ES,HVAC,FMX Elementary School,12000,2020-01-06,2027-01-06,2045-01-06,"19 years, 9 months",12000,1/6/2045,1/6/2020,1/6/2035,,,,,,,,
1629211 - HP-32-ES,HVAC,FMX Elementary School,12000,2020-03-25,2028-01-01,2045-03-26,20 years,12000,3/26/2045,3/25/2020,3/26/2035,,,,,,,,
1629212 - HP-6-ES,HVAC,FMX Elementary School,12000,2020-03-26,2028-01-02,2045-03-27,20 years,12000,3/27/2045,3/26/2020,3/27/2035,,,,,,,,
1629213 - HP-5-ES,HVAC,FMX Elementary School,12000,2020-03-27,2028-01-03,2045-03-28,20 years,12000,3/28/2045,3/27/2020,3/28/2035,,,,,,,,
1629214 - HP-4-ES,HVAC,FMX Elementary School,12000,2020-03-28,2028-01-04,2045-03-29,20 years,12000,3/29/2045,3/28/2020,3/29/2035,,,,,,,,
1629215 - HP-2-ES,HVAC,FMX Elementary School,12000,2020-03-29,2028-01-05,2045-03-30,20 years,12000,3/30/2045,3/29/2020,3/30/2035,,,,,,,,
1629216 - HP-1-ES,HVAC,FMX Elementary School,12000,2020-03-30,2028-01-06,2045-03-31,20 years,12000,3/31/2045,3/30/2020,3/31/2035,,,,,,,,
1629217 - HP-13-ES,HVAC,FMX Elementary School,12000,2020-03-31,2028-01-07,2045-04-01,20 years,12000,4/1/2045,3/31/2020,4/1/2035,,,,,,,,
1629218 - HP-32-MS,HVAC,FMX Middle School,12000,2020-04-01,2028-01-08,2045-04-02,20 years,12000,4/2/2045,4/1/2020,4/2/2035,,,,,,,,
1629219 - HP-6-MS,HVAC,FMX Middle School,12000,2020-04-02,2028-01-09,2045-04-03,20 years,12000,4/3/2045,4/2/2020,4/3/2035,,,,,,,,
1629220 - HP-5-MS,HVAC,FMX Middle School,12000,2020-04-03,2028-01-10,2045-04-04,20 years,12000,4/4/2045,4/3/2020,4/4/2035,,,,,,,,
1629221 - HP-4-MS,HVAC,FMX Middle School,12000,2020-04-04,2028-01-11,2045-04-05,20 years,12000,4/5/2045,4/4/2020,4/5/2035,,,,,,,,
1629222 - HP-2-MS,HVAC,FMX Middle School,12000,2020-04-05,2028-01-12,2045-04-06,20 years,12000,4/6/2045,4/5/2020,4/6/2035,,,,,,,,
1629223 - HP-1-MS,HVAC,FMX Middle School,12000,2020-04-06,2028-01-13,2045-04-07,20 years,12000,4/7/2045,4/6/2020,4/7/2035,,,,,,,,
1629224 - HP-13-MS,HVAC,FMX Middle School,12000,2020-04-07,2028-01-14,2045-04-08,20 years,12000,4/8/2045,4/7/2020,4/8/2035,,,,,,,,
1629161 - Water shutoff-MS,Plumbing,FMX Middle School,12000,2020-02-04,2028-02-01,2045-02-04,"19 years, 10 months",12000,2/4/2045,2/4/2020,2/4/2035,,,,,,,,
1629133 - AHU 7-ES,HVAC,FMX Elementary School,12000,2020-01-07,2029-01-01,2045-01-07,"19 years, 9 months",12000,1/7/2045,1/7/2020,1/7/2035,,,,,,,,
1629134 - AHU 14-MS,HVAC,FMX Middle School,12000,2020-01-08,2029-01-02,2045-01-08,"19 years, 9 months",12000,1/8/2045,1/8/2020,1/8/2035,,,,,,,,
1629135 - AHU 7-MS,HVAC,FMX Middle School,12000,2020-01-09,2029-01-03,2045-01-09,"19 years, 9 months",12000,1/9/2045,1/9/2020,1/9/2035,,,,,,,,
1629136 - Valve 2-ES,Plumbing,FMX Elementary School,12000,2020-01-10,2029-01-04,2045-01-10,"19 years, 9 months",12000,1/10/2045,1/10/2020,1/10/2035,,,,,,,,
1629137 - Valve 2 - HS,Plumbing,FMX High School,12000,2020-01-11,2029-01-05,2045-01-11,"19 years, 9 months",12000,1/11/2045,1/11/2020,1/11/2035,,,,,,,,
1629138 - Water fountain 1 - HS,Plumbing,FMX High School,12000,2020-01-12,2029-01-06,2045-01-12,"19 years, 9 months",12000,1/12/2045,1/12/2020,1/12/2035,,,,,,,,
1629139 - Sewer drain - HS,Plumbing,FMX High School,12000,2020-01-13,2031-01-01,2045-01-13,"19 years, 10 months",12000,1/13/2045,1/13/2020,1/13/2035,,,,,,,,
1629140 - Water shutoff - HS,Plumbing,FMX High School,12000,2020-01-14,2031-01-02,2045-01-14,"19 years, 10 months",12000,1/14/2045,1/14/2020,1/14/2035,,,,,,,,
1629141 - Water fountain 6 - HS,Plumbing,FMX High School,12000,2020-01-15,2031-01-03,2045-01-15,"19 years, 10 months",12000,1/15/2045,1/15/2020,1/15/2035,,,,,,,,
1629184 - Light Fixture 125 - HS,Electrical,FMX High School,12000,2020-02-27,2033-01-01,2045-02-27,"19 years, 11 months",12000,2/27/2045,2/27/2020,2/27/2035,,,,,,,,
1629185 - Electric Panel 06-ES,Electrical,FMX Elementary School,12000,2020-02-28,2033-01-02,2045-02-28,"19 years, 11 months",12000,2/28/2045,2/28/2020,2/28/2035,,,,,,,,
1629186 - Electric Panel 05-ES,Electrical,FMX Elementary School,12000,2020-02-29,2033-01-03,2045-03-01,"19 years, 11 months",12000,3/1/2045,2/29/2020,3/1/2035,,,,,,,,
1629187 - Electric Panel 04-ES,Electrical,FMX Elementary School,12000,2020-03-01,2033-01-04,2045-03-02,"19 years, 11 months",12000,3/2/2045,3/1/2020,3/2/2035,,,,,,,,
1629188 - Electric Panel 03-ES,Electrical,FMX Elementary School,12000,2020-03-02,2033-01-05,2045-03-03,"19 years, 11 months",12000,3/3/2045,3/2/2020,3/3/2035,,,,,,,,
1629189 - Electric Panel 02-ES,Electrical,FMX Elementary School,12000,2020-03-03,2033-01-06,2045-03-04,"19 years, 11 months",12000,3/4/2045,3/3/2020,3/4/2035,,,,,,,,
